n numpy scipy pyfftw dft_loop dft_para_loop dft_matr dft_inter dft_radix2 dft_radix2f
1 1.4781951904296875e-05 5.745887756347656e-05 0.0002086162567138672 1.5497207641601562e-05 0.013138294219970703 8.702278137207031e-05 0 9.5367431640625e-07 4.76837158203125e-07
2 2.3365020751953125e-05 5.14984130859375e-05 0.00014972686767578125 2.0742416381835938e-05 0.009872913360595703 6.747245788574219e-05 6.031990051269531e-05 1.5497207641601562e-05 2.002716064453125e-05
3 2.1457672119140625e-05 4.5299530029296875e-05 0.00013637542724609375 2.47955322265625e-05 0.010494470596313477 0.00010824203491210938 0 0 0
4 2.4080276489257812e-05 4.5299530029296875e-05 0.0001468658447265625 3.743171691894531e-05 0.01202702522277832 7.796287536621094e-05 6.389617919921875e-05 4.38690185546875e-05 4.0531158447265625e-05
5 3.0279159545898438e-05 5.53131103515625e-05 0.0001323223114013672 5.125999450683594e-05 0.01082301139831543 8.392333984375e-05 0 0 0
6 2.574920654296875e-05 4.982948303222656e-05 0.0001506805419921875 7.343292236328125e-05 0.011068105697631836 7.915496826171875e-05 7.271766662597656e-05 0 0
7 2.6464462280273438e-05 5.14984130859375e-05 0.0001285076141357422 9.226799011230469e-05 0.010816812515258789 8.273124694824219e-05 0 0 0
8 2.5272369384765625e-05 5.0067901611328125e-05 0.0001513957977294922 0.00011992454528808594 0.011623620986938477 7.62939453125e-05 7.939338684082031e-05 0.00011301040649414062 9.465217590332031e-05
9 2.7179718017578125e-05 4.839897155761719e-05 0.0001366138458251953 0.00016188621520996094 0.011367321014404297 8.058547973632812e-05 0 0 0
10 2.5987625122070312e-05 7.319450378417969e-05 0.00014591217041015625 0.00018167495727539062 0.010890007019042969 8.225440979003906e-05 8.511543273925781e-05 0 0
11 2.7418136596679688e-05 5.4836273193359375e-05 0.00015115737915039062 0.0003445148468017578 0.011002063751220703 8.130073547363281e-05 0 0 0
12 2.6226043701171875e-05 5.030632019042969e-05 0.00016307830810546875 0.0002524852752685547 0.011401653289794922 8.845329284667969e-05 8.988380432128906e-05 0 0
13 2.7894973754882812e-05 5.078315734863281e-05 0.00012445449829101562 0.00028634071350097656 0.011641740798950195 8.940696716308594e-05 0 0 0
14 2.6941299438476562e-05 5.054473876953125e-05 0.0001552104949951172 0.00033736228942871094 0.010646343231201172 9.608268737792969e-05 9.72747802734375e-05 0 0
15 2.8848648071289062e-05 4.9114227294921875e-05 0.0001423358917236328 0.00039696693420410156 0.011655807495117188 9.012222290039062e-05 0 0 0
16 2.6226043701171875e-05 5.3882598876953125e-05 0.00015592575073242188 0.0005965232849121094 0.011549711227416992 9.107589721679688e-05 0.0001010894775390625 0.0002620220184326172 0.0002257823944091797
17 2.8848648071289062e-05 0.00011014938354492188 0.0001590251922607422 0.00048613548278808594 0.012981653213500977 9.441375732421875e-05 0 0 0
18 3.0994415283203125e-05 5.6743621826171875e-05 0.0005323886871337891 0.0005736351013183594 0.012013912200927734 9.369850158691406e-05 0.0001380443572998047 0 0
19 2.8848648071289062e-05 5.245208740234375e-05 0.00016260147094726562 0.0006344318389892578 0.012968301773071289 0.00011157989501953125 0 0 0
20 3.0279159545898438e-05 6.175041198730469e-05 0.0001704692840576172 0.000705718994140625 0.013031482696533203 9.918212890625e-05 0.00012540817260742188 0 0
21 3.075599670410156e-05 5.316734313964844e-05 0.000331878662109375 0.0007545948028564453 0.013056278228759766 0.00010657310485839844 0 0 0
22 4.7206878662109375e-05 6.318092346191406e-05 0.00037407875061035156 0.0008921623229980469 0.013011693954467773 0.0001049041748046875 0.000125885009765625 0 0
23 3.647804260253906e-05 6.341934204101562e-05 0.00021338462829589844 0.00089263916015625 0.012979984283447266 0.00010848045349121094 0 0 0
24 3.1948089599609375e-05 9.34600830078125e-05 0.0006964206695556641 0.0009829998016357422 0.014177083969116211 0.00010561943054199219 0.0001308917999267578 0 0
25 2.9802322387695312e-05 4.982948303222656e-05 0.00013589859008789062 0.0010542869567871094 0.013154268264770508 0.00010943412780761719 0 0 0
26 2.956390380859375e-05 5.459785461425781e-05 0.00031948089599609375 0.001176595687866211 0.012375116348266602 0.00010752677917480469 0.0001475811004638672 0 0
27 3.1948089599609375e-05 5.3882598876953125e-05 0.00036787986755371094 0.0012395381927490234 0.013649702072143555 0.00013971328735351562 0 0 0
28 2.7179718017578125e-05 5.412101745605469e-05 0.00043463706970214844 0.0012598037719726562 0.014248132705688477 0.00011801719665527344 0.00014901161193847656 0 0
29 3.4809112548828125e-05 6.937980651855469e-05 0.0008864402770996094 0.0016477108001708984 0.014364242553710938 0.00014519691467285156 0 0 0
30 3.814697265625e-05 6.079673767089844e-05 0.0003383159637451172 0.0016837120056152344 0.012605905532836914 0.0001316070556640625 0.0001533031463623047 0 0
31 3.6716461181640625e-05 7.05718994140625e-05 0.00101470947265625 0.001674652099609375 0.016527175903320312 0.00018596649169921875 0 0 0
32 4.553794860839844e-05 7.486343383789062e-05 0.0002644062042236328 0.0018701553344726562 0.014619112014770508 0.0002040863037109375 0.00016188621520996094 0.0006253719329833984 0.0005857944488525391
33 3.361701965332031e-05 5.412101745605469e-05 0.0005395412445068359 0.0017843246459960938 0.013078927993774414 0.00014853477478027344 0 0 0
34 4.982948303222656e-05 7.200241088867188e-05 0.0014529228210449219 0.0020232200622558594 0.016417503356933594 0.00020360946655273438 0.00017762184143066406 0 0
35 3.600120544433594e-05 6.937980651855469e-05 0.0003142356872558594 0.0020751953125 0.013645648956298828 0.00017142295837402344 0 0 0
36 2.8133392333984375e-05 5.435943603515625e-05 0.0007052421569824219 0.002122163772583008 0.014353752136230469 0.00016307830810546875 0.00017309188842773438 0 0
37 3.719329833984375e-05 6.008148193359375e-05 0.0027053356170654297 0.00231170654296875 0.013757705688476562 0.0001323223114013672 0 0 0
38 3.0040740966796875e-05 5.459785461425781e-05 0.0003712177276611328 0.002437114715576172 0.013495683670043945 0.0001289844512939453 0.00019478797912597656 0 0
39 3.1948089599609375e-05 5.030632019042969e-05 0.0003018379211425781 0.0026314258575439453 0.014281511306762695 0.00013375282287597656 0 0 0
40 2.765655517578125e-05 4.8160552978515625e-05 0.0005698204040527344 0.002710103988647461 0.014163494110107422 0.0001494884490966797 0.00019168853759765625 0 0
41 3.3855438232421875e-05 5.435943603515625e-05 0.0020813941955566406 0.0028460025787353516 0.013782024383544922 0.0001556873321533203 0 0 0
42 4.696846008300781e-05 7.2479248046875e-05 0.0005137920379638672 0.0030846595764160156 0.012450695037841797 0.0001430511474609375 0.00019741058349609375 0 0
43 4.6253204345703125e-05 5.53131103515625e-05 0.0014917850494384766 0.0031595230102539062 0.015320301055908203 0.0001709461212158203 0 0 0
